distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,sound_2.started,sound_2.stopped,key_resp_3.keys,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.started,mouse_5.stopped,yes_text2.started,yes_text2.stopped,no_text2.started,no_text2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
positive,blue,2,k,None,,,,,1,14,34,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7220338999759406,190.47863089991733,None,None,0,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
positive,blue,1,k,None,,,,,1,15,35,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.029030599980615,192.20048409991432,None,None,0,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
negative,blue,1,None,k,,,,,1,16,36,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4947998999850824,194.23190859996248,None,None,1,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
positive,blue,2,k,None,,,,,1,17,37,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7339785000076517,196.73095529992133,None,None,0,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
positive,blue,1,k,None,,,,,1,18,38,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9344704999821261,198.4649474999169,None,None,0,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
positive,yellow,1,None,k,,,,,1,19,39,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4931822000071406,200.39816550002433,None,None,1,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.91409530001692,None,202.91409530001692,None,0.09537037,-0.17777778,0,0,0,0.012350219883956015,None,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
negative,yellow,2,k,None,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.9100084999809,None,210.9100084999809,None,main,k,k,1,0.8626942000119016,212.94972549995873,None,None,0,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
positive,red,1,None,None,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4942138999467716,214.81499430001713,None,None,1,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
positive,blue,2,k,None,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.6864218999398872,217.31320309999865,None,None,0,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
