distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,sound_2.started,sound_2.stopped,key_resp_3.keys,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.started,mouse_5.stopped,yes_text2.started,yes_text2.stopped,no_text2.started,no_text2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
positive,blue,1,k,None,,,,,1,15,35,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4985226999999668,196.81573789999993,None,None,1,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
negative,blue,1,None,k,,,,,1,16,36,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.6418699999999262,199.31669349999993,None,None,0,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
positive,blue,2,k,None,,,,,1,17,37,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5001440000000912,200.96095059999993,None,None,1,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
positive,blue,1,k,None,,,,,1,18,38,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5007653000000118,203.46276880000005,None,None,1,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
positive,yellow,1,None,k,,,,,1,19,39,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.6335898999998335,205.96835170000008,None,None,0,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.6314096000001,None,209.6314096000001,None,0.09907407,-0.15277778,0,0,0,0.015966450000178156,None,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
negative,yellow,2,k,None,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.8010392000001,None,212.8010392000001,None,main,None,None,1,1.5123367999999573,214.87008609999998,None,None,1,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
positive,red,1,None,None,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.5121745999999803,217.38702390000003,None,None,1,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
positive,blue,2,k,None,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.500565800000004,219.9009893,None,None,1,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
positive,blue,1,k,None,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.499195200000031,222.4026237999999,None,None,1,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
