target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,sound_1.started,sound_1.stopped,no_text.started,no_text.stopped,yes_text.started,yes_text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
neutral,positive,1,k,k,,,,,,,,,9,15,177,4,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,neutral,k,k,1,0.623952400055714,547.6844243999803,548.6891768999631,548.6557824999327,None,547.6844243999803,None,547.6844243999803,None,547.6844243999803,None,549.2905742299511,None,549.2905742299511,None,549.2905742299511,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
neutral,negative,1,k,k,,,,,,,,,9,16,178,7,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,neutral,k,k,1,0.6216168999671936,549.3059394999873,550.3229345999425,550.2841115000192,None,549.3059394999873,None,549.3059394999873,None,549.3059394999873,None,550.9161485300167,None,550.9161485300167,None,550.9161485300167,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
positive,neutral,2,l,j,,,,,,,,,9,17,179,17,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,positive,l,l,1,0.7294663999928162,550.9318250999786,551.9342087999685,551.9144487999147,None,550.9318250999786,None,550.9318250999786,None,550.9318250999786,None,552.6478633300169,None,552.6478633300169,None,552.6478633300169,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
positive,neutral,1,l,j,,,,,,,,,10,0,180,8,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,positive,l,l,1,0.922782100038603,552.6631495999172,553.6842165999115,553.6645500999875,None,552.6631495999172,None,552.6631495999172,None,552.6631495999172,None,554.5726779299323,None,554.5726779299323,None,554.5726779299323,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
negative,neutral,2,j,l,,,,,,,,,10,1,181,12,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,negative,j,j,1,0.9493312999838963,554.5886038999306,555.6062833999749,555.5893380999332,None,554.5886038999306,None,554.5886038999306,None,554.5886038999306,None,556.5238371299813,None,556.5238371299813,None,556.5238371299813,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
negative,neutral,1,j,l,,,,,,,,,10,2,182,3,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,negative,j,j,1,0.825120700057596,556.5398151999107,557.5565464999527,557.520163499983,None,556.5398151999107,None,556.5398151999107,None,556.5398151999107,None,558.3532935299911,None,558.3532935299911,None,558.3532935299911,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
negative,positive,1,j,l,,,,,,,,,10,3,183,6,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,negative,j,j,1,0.6772650999482721,558.3683644999983,559.3704388999613,559.3510950999334,None,558.3683644999983,None,558.3683644999983,None,558.3683644999983,None,560.0331023299834,None,560.0331023299834,None,560.0331023299834,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
neutral,negative,1,k,k,,,,,,,,,10,4,184,7,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,neutral,k,k,1,0.8465211000293493,560.0485071999719,561.0644660999533,561.0232986999908,None,560.0485071999719,None,560.0485071999719,None,560.0485071999719,None,561.8827631299384,None,561.8827631299384,None,561.8827631299384,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
positive,negative,1,l,j,,,,,,,,,10,5,185,5,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,positive,l,l,1,0.7578770000254735,561.9015291000251,562.9061741000041,562.8876801999286,None,561.9015291000251,None,561.9015291000251,None,561.9015291000251,None,563.6412254299969,None,563.6412254299969,None,563.6412254299969,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
positive,negative,2,l,j,,,,,,,,,10,6,186,14,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,positive,l,l,1,0.8165242000250146,563.6581158000045,564.6733821999514,564.6398234999506,None,563.6581158000045,None,563.6581158000045,None,563.6581158000045,None,565.4623689299217,None,565.4623689299217,None,565.4623689299217,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
