target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,sound_1.started,sound_1.stopped,no_text.started,no_text.stopped,yes_text.started,yes_text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
positive,neutral,1,l,j,,,,,,,,,2,4,40,8,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,positive,j,l,0,0.923848999999791,226.3088485000003,227.3138968000003,227.2954609000003,None,226.3088485000003,None,226.3088485000003,None,226.3088485000003,None,228.22302149999996,None,228.22302149999996,None,228.22302149999996,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
positive,negative,2,l,j,,,,,,,,,2,5,41,14,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,positive,j,j,1,0.799253900000167,229.24894190000032,230.25404190000017,230.23347330000024,None,229.24894190000032,None,229.24894190000032,None,229.24894190000032,None,231.02765536000007,None,231.02765536000007,None,231.02765536000007,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
positive,neutral,2,l,j,,,,,,,,,2,6,42,17,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,positive,j,j,1,0.6956012000000555,231.0482264000002,232.0661129,232.02715639999997,None,231.0482264000002,None,231.0482264000002,None,231.0482264000002,None,232.72621886000016,None,232.72621886000016,None,232.72621886000016,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
negative,neutral,2,j,l,,,,,,,,,2,7,43,12,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,negative,l,l,1,0.8522419999999329,232.7466575000003,233.75764180000033,233.73734760000025,None,232.7466575000003,None,232.7466575000003,None,232.7466575000003,None,234.58290356000035,None,234.58290356000035,None,234.58290356000035,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
negative,negative,2,j,l,,,,,,,,,2,8,44,9,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,negative,l,l,1,0.7731269000000793,234.6043606000003,235.61959530000013,235.57858680000027,None,234.6043606000003,None,234.6043606000003,None,234.6043606000003,None,236.35645166000032,None,236.35645166000032,None,236.35645166000032,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
neutral,positive,2,k,k,,,,,,,,,2,9,45,13,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,positive,neutral,k,k,1,0.8186692999997831,236.37872000000016,237.3922192,237.3732103000002,None,236.37872000000016,None,236.37872000000016,None,236.37872000000016,None,238.18169786000036,None,238.18169786000036,None,238.18169786000036,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
neutral,neutral,2,k,k,,,,,,,,,2,10,46,10,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,neutral,k,k,1,0.1034100000001672,238.20083019999993,239.2234258000003,239.1805532000003,None,238.20083019999993,None,238.20083019999993,None,238.20083019999993,None,239.30255860000034,None,239.30255860000034,None,239.30255860000034,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
neutral,neutral,1,k,k,,,,,,,,,2,11,47,1,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,neutral,k,k,1,0.7078439000001708,242.31405050000012,243.3183822000001,243.29822120000017,None,242.31405050000012,None,242.31405050000012,None,242.31405050000012,None,244.00304786000007,None,244.00304786000007,None,244.00304786000007,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
negative,positive,2,j,l,,,,,,,,,2,12,48,15,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,positive,negative,l,l,1,0.8526686999998674,244.02536180000016,245.03817290000006,245.01813119999997,None,244.02536180000016,None,244.02536180000016,None,244.02536180000016,None,245.8577854600002,None,245.8577854600002,None,245.8577854600002,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
negative,negative,1,j,l,,,,,,,,,2,13,49,0,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,negative,l,l,1,0.7685131000002912,245.8789187000002,246.8955989000001,246.85569440000017,None,245.8789187000002,None,245.8789187000002,None,245.8789187000002,None,247.63121716000015,None,247.63121716000015,None,247.63121716000015,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
neutral,negative,1,k,k,,,,,,,,,2,14,50,7,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,neutral,k,k,1,0.8546227000001636,247.6514600999999,248.66759550000006,248.62786110000025,None,247.6514600999999,None,247.6514600999999,None,247.6514600999999,None,249.48781486,None,249.48781486,None,249.48781486,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
positive,positive,1,l,j,,,,,,,,,2,15,51,2,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,positive,j,j,1,0.9484177999997883,249.5095341000001,250.51243680000016,250.4935458,None,249.5095341000001,None,249.5095341000001,None,249.5095341000001,None,251.43901686000018,None,251.43901686000018,None,251.43901686000018,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
negative,neutral,1,j,l,,,,,,,,,2,16,52,3,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,negative,l,l,1,0.9005139000000781,251.47209770000018,252.49019150000004,252.44783469999993,None,251.47209770000018,None,251.47209770000018,None,251.47209770000018,None,253.34695076000017,None,253.34695076000017,None,253.34695076000017,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
positive,negative,1,l,j,,,,,,,,,2,17,53,5,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,positive,j,l,0,1.0115694999999505,253.3692685000001,254.3761569000003,254.3567522000003,None,253.3692685000001,None,253.3692685000001,None,253.3692685000001,None,255.3675728000003,None,255.3675728000003,None,255.3675728000003,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
neutral,negative,2,k,k,,,,,,,,,3,0,54,16,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,neutral,k,k,1,0.816846500000338,256.3790793000003,257.3871200000003,257.36657110000033,None,256.3790793000003,None,256.3790793000003,None,256.3790793000003,None,258.17423466000025,None,258.17423466000025,None,258.17423466000025,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
negative,negative,2,j,l,,,,,,,,,3,1,55,9,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,negative,l,l,1,0.8586792000000969,258.1984061000003,259.2038098000003,259.1829399000003,None,258.1984061000003,None,258.1984061000003,None,258.1984061000003,None,260.0373717599999,None,260.0373717599999,None,260.0373717599999,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
